latitude,longitude,altitude,intensity,x,y,z,level,x_rounded,y_rounded
45.90362652,11.02820789,226.1367,5.0,4357063.155111802,4496709.8720617425,1212112.152529808,upper,217853158.0,224835494.0
45.90362628,11.02820644,226.0896,5.0,4357063.163128619,4496709.8426452065,1212111.986084627,upper,217853158.0,224835492.0
45.90362624,11.02820547,226.072,5.0,4357063.16852999,4496709.841937981,1212111.877399086,upper,217853158.0,224835492.0
45.90362609,11.02820525,226.0589,5.0,4357063.17459431,4496709.82464023,1212111.8510064203,upper,217853159.0,224835491.0
45.90362808,11.02820469,225.6457,5.0,4357062.744437747,4496709.693212226,1212111.7111618817,upper,217853137.0,224835485.0
45.90362794,11.0282044,225.6328,4.0,4357062.750884589,4496709.67787969,1212111.677207151,upper,217853138.0,224835484.0
45.90362479,11.02820251,225.654,4.0,4357063.040414158,4496709.48200376,1212111.4760537655,upper,217853152.0,224835474.0
45.90362142,11.02819935,225.6455,5.0,4357063.345624875,4496709.267762119,1212111.1313273855,upper,217853167.0,224835463.0
45.90362133,11.02819897,225.6333,5.0,4357063.34995095,4496709.258092988,1212111.0877347137,upper,217853167.0,224835463.0
45.9036163,11.02819774,226.3887,3.0,4357064.278779995,4496709.426765653,1212111.0986881729,upper,217853214.0,224835471.0
45.90361215,11.02819575,226.3813,3.0,4357064.62873013,4496709.136203812,1212110.8812061946,upper,217853231.0,224835457.0
45.90361229,11.02819488,226.3608,4.0,4357064.61655142,4496709.1456207745,1212110.7828235102,upper,217853231.0,224835457.0
45.90361223,11.02819466,226.0793,3.0,4357064.432230542,4496708.945969816,1212110.7050880669,upper,217853222.0,224835447.0
